x,y,class
5.118279569892474,7.012987012987013,0
4.978494623655914,6.7857142857142865,0
4.967741935483872,6.672077922077923,0
4.967741935483872,6.590909090909092,0
4.967741935483872,6.50974025974026,0
4.978494623655914,6.50974025974026,0
5.03225806451613,6.493506493506494,0
5.086021505376344,6.493506493506494,0
5.129032258064516,6.50974025974026,0
5.172043010752688,6.574675324675326,0
5.193548387096774,6.6396103896103895,0
5.204301075268818,6.737012987012987,0
5.204301075268818,6.737012987012987,0
5.204301075268818,6.7857142857142865,0
5.118279569892474,6.818181818181818,0
5.043010752688172,6.7694805194805205,0
4.978494623655914,6.720779220779221,0
4.967741935483872,6.688311688311689,0
4.967741935483872,6.6396103896103895,0
4.967741935483872,6.623376623376624,0
5.0,6.623376623376624,0
5.053763440860216,6.6396103896103895,0
5.096774193548388,6.704545454545455,0
5.118279569892474,6.801948051948052,0
5.118279569892474,6.964285714285715,0
5.118279569892474,6.964285714285715,0
5.064516129032258,7.029220779220781,0
4.9247311827957,6.964285714285715,0
4.838709677419356,6.834415584415584,0
4.806451612903226,6.720779220779221,0
4.806451612903226,6.607142857142858,0
4.881720430107528,6.4610389610389625,0
5.053763440860216,6.379870129870131,0
5.21505376344086,6.412337662337663,0
5.333333333333334,6.493506493506494,0
5.408602150537636,6.607142857142858,0
5.408602150537636,6.688311688311689,0
5.344086021505378,6.801948051948052,0
5.161290322580646,6.850649350649352,0
4.956989247311828,6.850649350649352,0
4.881720430107528,6.818181818181818,0
4.81720430107527,6.672077922077923,0
4.795698924731184,6.55844155844156,0
4.795698924731184,6.428571428571429,0
4.849462365591398,6.3311688311688314,0
4.956989247311828,6.2987012987013,0
5.118279569892474,6.363636363636365,0
5.225806451612904,6.477272727272728,0
5.311827956989248,6.607142857142858,0
5.344086021505378,6.7857142857142865,0
5.268817204301076,7.061688311688313,0
5.193548387096774,7.126623376623378,0
5.053763440860216,7.1103896103896105,0
4.935483870967742,6.996753246753247,0
4.827956989247312,6.801948051948052,0
4.774193548387098,6.607142857142858,0
4.795698924731184,6.412337662337663,0
4.89247311827957,6.250000000000002,0
5.0,6.233766233766234,0
5.150537634408602,6.282467532467534,0
5.301075268817206,6.412337662337663,0
5.344086021505378,6.50974025974026,0
5.344086021505378,6.688311688311689,0
5.204301075268818,6.948051948051949,0
5.0,7.0941558441558445,0
4.89247311827957,7.0941558441558445,0
4.774193548387098,6.964285714285715,0
4.67741935483871,6.704545454545455,0
4.655913978494624,6.477272727272728,0
4.67741935483871,6.201298701298702,0
4.720430107526882,6.136363636363637,0
4.870967741935484,6.103896103896105,0
5.118279569892474,6.217532467532468,0
5.333333333333334,6.347402597402599,0
5.473118279569894,6.50974025974026,0
5.483870967741936,6.704545454545455,0
5.344086021505378,7.012987012987013,0
5.150537634408602,7.191558441558442,0
5.0,7.2402597402597415,0
4.838709677419356,7.142857142857144,0
4.720430107526882,6.915584415584416,0
4.645161290322582,6.623376623376624,0
4.645161290322582,6.250000000000002,0
4.655913978494624,6.120129870129871,0
4.752688172043012,6.022727272727273,0
4.913978494623656,5.9902597402597415,0
5.064516129032258,6.006493506493507,0
5.27956989247312,6.136363636363637,0
5.430107526881722,6.363636363636365,0
5.505376344086022,6.590909090909092,0
5.505376344086022,6.866883116883118,0
5.344086021505378,7.191558441558442,0
5.161290322580646,7.305194805194805,0
4.989247311827958,7.305194805194805,0
4.763440860215054,7.077922077922079,0
4.60215053763441,6.688311688311689,0
4.548387096774194,6.493506493506494,0
4.591397849462366,6.250000000000002,0
4.774193548387098,6.055194805194807,0
5.172043010752688,6.022727272727273,0
5.505376344086022,6.152597402597404,0
5.655913978494624,6.3311688311688314,0
5.70967741935484,6.574675324675326,0
5.537634408602152,6.964285714285715,0
5.24731182795699,7.142857142857144,0
5.021505376344086,7.1103896103896105,0
4.860215053763442,6.964285714285715,0
4.67741935483871,6.493506493506494,0
4.623655913978496,6.136363636363637,0
4.623655913978496,6.071428571428573,0
4.731182795698926,6.022727272727273,0
4.989247311827958,6.2987012987013,0
5.129032258064516,6.720779220779221,0
5.13978494623656,6.964285714285715,0
5.118279569892474,7.045454545454547,0
4.956989247311828,7.077922077922079,0
4.688172043010754,6.866883116883118,0
4.49462365591398,6.607142857142858,0
4.451612903225808,6.525974025974028,0
4.559139784946238,6.623376623376624,0
4.78494623655914,7.012987012987013,0
4.881720430107528,7.1103896103896105,0
4.89247311827957,7.1103896103896105,0
4.903225806451614,7.126623376623378,0
4.903225806451614,7.029220779220781,0
4.838709677419356,6.737012987012987,0
4.827956989247312,6.704545454545455,0
