"user id","test group","converted","total ads","most ads day","most ads hour"
1317070,"ad",FALSE,36,"Sunday",14
903624,"psa",FALSE,16,"Tuesday",16
1242031,"ad",FALSE,7,"Saturday",20
1379296,"ad",FALSE,13,"Thursday",0
1162733,"ad",FALSE,24,"Sunday",15
1150469,"ad",FALSE,2,"Tuesday",12
1267018,"ad",FALSE,2,"Tuesday",16
1191870,"ad",FALSE,16,"Tuesday",10
1606187,"ad",FALSE,25,"Monday",14
1558030,"ad",FALSE,48,"Friday",22
1221890,"ad",FALSE,74,"Tuesday",18
1440288,"ad",FALSE,2,"Saturday",17
1627791,"ad",FALSE,12,"Saturday",13
1422181,"ad",FALSE,1,"Thursday",18
1014234,"ad",FALSE,6,"Wednesday",10
1269009,"ad",FALSE,14,"Thursday",22
1138316,"ad",FALSE,19,"Wednesday",8
1330915,"ad",FALSE,33,"Monday",22
1596967,"ad",FALSE,73,"Tuesday",10
1387115,"ad",FALSE,3,"Friday",12
1201164,"ad",FALSE,12,"Wednesday",9
1471717,"ad",FALSE,14,"Wednesday",19
1147044,"ad",FALSE,9,"Saturday",19
1519640,"ad",FALSE,24,"Sunday",20
1401468,"ad",FALSE,3,"Sunday",13
1092032,"ad",FALSE,36,"Saturday",20
1149412,"ad",FALSE,17,"Thursday",18
1437443,"ad",FALSE,17,"Saturday",18
1021483,"ad",FALSE,40,"Tuesday",19
1356535,"ad",TRUE,85,"Monday",9
1500701,"ad",FALSE,2,"Tuesday",21
1056769,"ad",FALSE,36,"Sunday",8
1547350,"ad",FALSE,1,"Monday",15
1566836,"ad",FALSE,1,"Friday",13
1134788,"ad",FALSE,4,"Sunday",17
1197804,"ad",FALSE,174,"Thursday",13
1554663,"ad",FALSE,10,"Wednesday",13
1258720,"ad",FALSE,2,"Tuesday",14
1352557,"ad",FALSE,15,"Tuesday",13
1053122,"ad",FALSE,1,"Wednesday",11
1151492,"ad",FALSE,9,"Monday",18
1287344,"ad",FALSE,65,"Tuesday",14
1643964,"ad",FALSE,1,"Monday",11
1239573,"ad",FALSE,46,"Friday",14
1300026,"ad",FALSE,42,"Wednesday",11
1510962,"ad",FALSE,3,"Saturday",9
1353962,"ad",FALSE,31,"Sunday",21
1533087,"ad",FALSE,10,"Saturday",15
